otm_code,genus,species,cultivar,other,common_name
JUCA1,Juniperus,californica,,,California juniper
JUCA2,Juglans,californica,,,Southern california walnut
JUCH,Juniperus,chinensis,,,Chinese juniper
JUCHS6,Juniperus,chinensis,Torulosa,,Hollywood juniper
JUCI,Juglans,cinerea,,,Butternut
JUCO1,Juniperus,communis,,,Common juniper
JUCO3,Juniperus,conferta,,,Shore juniper
JUHI,Juglans,hindsii,,,Hind walnut
JUMO,Juniperus,monosperma,,,One seed juniper
JUNI,Juglans,nigra,,,Black walnut
JUOC,Juniperus,occidentalis,,,Western juniper
JUPR,Juniperus,procumbens,,,Japanese garden juniper
JURE,Juglans,regia,,,English walnut
JUSC,Juniperus,scopulorum,,,Rocky mountain juniper
JUSI,Juniperus,virginiana,,var. silicicola,Southern redcedar
JUVI,Juniperus,virginiana,,,Eastern red cedar
KOBI,Koelreuteria,bipinnata,,,Chinese flame tree
KOEL,Koelreuteria,elegans,,,Goldenrain tree
KOPA,Koelreuteria,paniculata,,,Goldenrain tree
KOPA_F,Koelreuteria,paniculata,Fastigiata,,Goldenrain 'Fastigiata'
LA10,Larix,,,,Larch
LA6,Lagerstroemia,,,,Common crapemyrtle
LA6_M,Lagerstroemia,x 'Muskogee',,,Muskogee crapemyrtle
LA6_N,Lagerstroemia,x 'Natchez',,,Natchez crapemyrtle
LA6_T1,Lagerstroemia,x 'Tuscarora',,,Tuscarora crapemyrtle
LA6_T2,Lagerstroemia,x 'Tuskegee',,,Tuskegee crapemyrtle
LAAN2,Laburnum,anagyroides,,,Golden chain tree
LADE,Larix,decidua,,,European larch
LADEWPE,Larix,decidua,Pendula,,European larch 'Pendula'
LAIN,Lagerstroemia,indica,,,Crapemyrtle
LANO,Laurus,nobilis,,,Laurel de olor
LAPA,Lagunaria,patersonii,,,Primrose tree; cow itch tree
LASP,Lagerstroemia,speciosa,,,Giant crapemyrtle
LAWA,Laburnum,x watereri,,,Golden-chain tree
LE14,Leptospermum,,,,Teatree
LELA12,Leptospermum,laevigata,,,Coastal teatree
LELE,Leucaena,leucocephala,,,Koa haole
LIAU9,Livistona,australis,,,Australian fan palm
LICH,Livistona,chinensis,,,Chinese fan palm
LICH4,Litchi,chinensis,,,Litchi
LIDE,Lithocarpus,densiflorus,,,Tanoak
LIDE2,Livistona,decipiens,,,Ribbon palm
LIFO,Liquidambar,formosana,,,Chinese sweet gum
LIJA,Ligustrum,japonicum,,,Ligustro
LILU,Ligustrum,lucidum,,,Glossy privet
LIOR,Liquidambar,orientalis,,,Oriental sweetgum
LIOV,Ligustrum,ovalifolium,,,California privet
LISI,Ligustrum,sinense,,,Ligustro
LISP,Ligustrum,,,,Privet
LIST,Liquidambar,styraciflua,,,Sweetgum
LITU,Liriodendron,tulipifera,,,Tulip tree
LOGO,Gordonia,lasianthus,,,Loblolly bay
LOSP,Lonicera,,,,Honeysuckle
LYAS,Lyonothamnus,floribundus,,ssp. asplenifolius,Fernleaf catalina ironwood
LYFL,Lyonothamnus,floribundus,,,Lyontree
LYMI,Lysiloma,microphyllum,,,Feather bush
LYRA,Lycianthes,rantonnei,,,Paraguay nightshade
MA1,Magnolia,,,,Magnolia
MA2,Malus,,,,Crabapple
MA2,Malus,,,,Apple
MAAC,Magnolia,acuminata,,,Cucumber tree
MAAM,Maackia,amurensis,,,Amur maackia
MABE,Mahonia,bealei,,,Leatherleaf mahonia
MABO,Maytenus,boaria,,,Mayten tree
MADE,Magnolia,denudata,,,Chinese magnolia
MAFL80,Malus,floribunda,,,Japanese flowering crabapple
MAGR,Magnolia,grandiflora,,,Southern magnolia
MAGR_L,Magnolia,grandiflora,Little Gem,,Little gem southern magnolia
MAHA,Malus,,Harvest Gold,,Crabapple harvest gold
MAIN,Mangifera,indica,,,Mango
MAIN8,Macadamia,integrifolia,,,Macadamia nut
MAIO,Malus,ioensis,,var. plena,Bechtel crabapple
MAIS,Malus,,Indian Summer,,Crabapple Indian summer
MALA6,Malosma,laurina,,,Laurel sumac
MALU4,Markhamia,lutea,,,Siala
MAMA,Magnolia,macrophylla,,,Bigleaf magnolia
MAPO,Maclura,pomifera,,,Osage orange
MAPU,Malus,pumila,,,Paradise apple
MAPUEL,Malus,x purpurea,,var. eleyi,Eleyi crapapple
MAPY,Magnolia,soulangiana,,,Pyramid magnolia
MASO,Magnolia,x soulangiana,,,Chinese magnolia; Saucer magnolia
MASO_G,Magnolia,soulangiana,Galaxy,,Galaxy magnolia
MAST,Magnolia,stellata,,,Star magnolia
MASY2,Malus,sylvestris,,,Paradise apple
MATE,Macadamia,tetraphylla,,,Rough-shell macadamia
MATI,Machaerium,tipu,,,Tipa
MATR,Magnolia,tripetala,,,Umbrella magnolia
MATS,Malus,tschonoskii,,,Crabapple
MAVI,Magnolia,virginiana,,,Sweetbay
MAZA,Manilkara,zapota,,,Sapodilla
MEAR,Melaleuca,armillaris,,,Drooping melaleuca
MEAZ,Melia,azedarach,,,Pride-of-India
MEBR9,Melaleuca,bracteata,,,River teatree
MEEX,Metrosideros,excelsus,,,New zealand christmas tree
MEGL,Metasequoia,glyptostroboides,,,Dawn redwood
MELE,Melaleuca,leucadendra,,,Punk tree
MELI7,Melaleuca,linariifolia,,,Cajeput tree
MENE,Melaleuca,nesophila,,,Pink melaleuca
MEPO5,Metrosideros,polymorpha,,,Ohi'a lehua
MEQU,Melaleuca,quinquenervia,,,Punktree
MEST,Melaleuca,styphelioides,,,Melaleuca
MICA21,Mimusops,caffra,,,Red milkwood
MO,Morus,,,,Mulberry
MOAL,Morus,alba,,,White mulberry
MOAR,Montanoa,arborescens,,,Daisy tree
MOCI3,Morinda,citrifolia,,,Noni
MONI,Morus,nigra,,,Black mulberry
MOOL,Moringa,oleifera,,,Horseradish tree
MORU,Morus,rubra,,,Red mulberry
MU5,Musa,,,,Banana
MUPA,Murraya,exotica,,,Orange-jessamine
MUPA3,Musa,x paradisiaca,,,French plantain
MUPA4,Murraya,paniculata,,,Mock orange
MYCA,Morella,californica,,,Pacific bayberry
MYCE,Morella,cerifera,,,Southern bayberry
MYCE2,Myrica,cerifera,,,Southern bayberry
MYCO,Myrtus,communis,,,Myrtle
MYLA,Myoporum,laetum,,,Mioporo
NEOL,Nerium,oleander,,,Oleander
NIGL,Nicotiana,glauca,,,Tree tobacco
NOEM,Noronhia,emarginata,,,Madagascar-olive
NORE,Nolina,recurvata,,,Pony-tail palm
NYSY,Nyssa,sylvatica,,,Black tupelo
OCEL,Ochrosia,elliptica,,,New Caledonia tree
OCSE2,Ochna,serrulata,,,Mickey Mouse plant
OLEU,Olea,europaea,,,Olive
OLEU2,Olea,europaea,Swan Hill,,Swan hill olive
OLTE,Olneya,tesota,,,Tesota
OPFI,Opuntia,ficus-indica,,,Tuna cactus
ORCO9,Orbignya,cohune,,,Cohune palm
OSFR,Osmanthus,fragrans,,,Sweet olive
OSVI,Ostrya,virginiana,,,Eastern hophornbeam
OXAR,Oxydendrum,arboreum,,,Sourwood
PA19,Paulownia,,,,Paulownia
PAAC,Parkinsonia,aculeata,,,Jerusalem thorn
PACE8,Parmentiera,cereifera,,,Candle tree
PALO8,Paraserianthes,lophantha,,,Plume albizia
PAPE,Parrotia,persica,,,Persian ironwood
PASP,Palm,,,,Palm
PATE2,Pandanus,tectorius,,,Hala
PATO,Paulownia,tomentosa,,,Royal paulownia
PEAM,Persea,americana,,,Avocado
PEBO,Persea,borbonia,,,Redbay
PEIN17,Persea,indica,,,Indian bay
PEL OTHER,Palm Evergreen Large,,,,Palm Evergreen Large
PEM OTHER,Palm Evergreen Medium,,,,Palm Evergreen Medium
PEPT,Peltophorum,pterocarpum,,,Yellow poinciana
PES OTHER,Palm Evergreen Small,,,,Palm Evergreen Small
PH18,Phyllostachys,,,,Bamboo
PH7,Phoenix,,,,Date palm species
PHAM,Phellodendron,amurense,,,Amur corktree
PHCA,Phoenix,canariensis,,,Canary Island date palm
PHDA4,Phoenix,dactylifera,,,Date palm
PHFR,Photinia,x fraseri,,,Fraser photinia
PHRE,Phoenix,reclinata,,,Senegal date palm
PHRO,Phoenix,roebelenii,,,Pygmy date palm
PHSE,Photinia,serratifolia,,,Taiwanese photinia
PHSP2,Photinia,,,,Chokeberry
PHSY,Phoenix,sylvestris,,,Toddy palm
PI1,Picea,,,,Spruce
PI2,Pinus,,,,Pine
PI23,Pittosporum,,,,Cheesewood
PIAB,Picea,abies,,,Norway spruce
PIAR,Pinus,aristata,,,Bristlecone pine
PIAR9,Pittosporum,arborescens,,,Pittosporum
PIAS,Picea,asperata,,,Chinese spruce
PIAT,Pinus,attenuata,,,Knobcone pine
PIAT4,Pistacia,atlantica,,,Mt. atlas mastic tree
PIBA,Pinus,banksiana,,,Jack pine
PIBR2,Pinus,brutia,,,Turkish pine; east mediterranean pine
PICA,Pinus,canariensis,,,Canary Island pine
PICE,Pinus,cembroides,,,Mexican pinyon
PICE2,Pinus,cembra,,,Swiss stone pine
PICH,Pistacia,chinensis,,,Chinese pistache
PICH_PS,Pistacia,chinensis,Pearl Street,,Chinese pistache 'Pearl street'
PICL,Pinus,clausa,,,Sand pine
PICO,Pinus,contorta,,,Lodgepole pine
PICO2,Pinus,coulteri,,,Coulter pine
PICO5,Pinus,contorta,,var. bolanderi,Bolander beach pine
PICO6,Pinus,contorta,,var. latifolia,Tall lodgepole pine
PICR,Pittosporum,crassifolium,,,Stiffleaf cheesewood
PIDE,Pinus,densiflora,,,Japanese red pine
PIDI3,Pimenta,dioica,,,Allspice
PIDU,Pithecellobium,dulce,,,Opiuma
PIEC,Pinus,echinata,,,Shortleaf pine
PIED,Pinus,edulis,,,Pinyon pine
PIEL,Pinus,elliottii,,,Slash pine
PIEL2,Pinus,eldarica,,,Afghan pine
PIEN,Picea,engelmannii,,,Engelmann spruce
PIEU,Pittosporum,eugenioides,,,Tarata
PIFE,Pittosporum,ferrugineum,,,Rusty pittosporum
PIFL,Pinus,flexilis,,,Limber pine
PIGL1,Picea,glauca,,,White spruce
PIGL2,Pinus,glabra,,,Spruce pine
PIHA,Pinus,halepensis,,,Aleppo pine
PIMA,Picea,mariana,,,Black spruce
PIMO3,Pinus,monticola,,,Western white pine
PIMU,Pinus,mugo,,,Sweet mountain pine
PIMU2,Pinus,muricata,,,Bishop pine
PINI,Pinus,nigra,,,Austrian pine
PIOM,Picea,omorika,,,Serbian spruce
PIOR,Picea,orientalis,,,Oriental spruce
PIPA,Pinus,palustris,,,Longleaf pine
PIPA4,Pinus,patula,,,NCN
PIPE8,Pittosporum,pentandrum,,,Mamalis
PIPH2,Pittosporum,phillyraeoides,,,Pittosporum willow
PIPI2,Pinus,pinea,,,Umbrella pine
PIPI6,Pinus,pinaster,,,Maritime pine
PIPO,Pinus,ponderosa,,,Ponderosa pine
PIPU,Picea,pungens,,,Blue spruce
PIPUGL,Picea,pungens,Glauca,,Blue spruce
PIRA,Pinus,radiata,,,Montery pine
PIRA2,Pimenta,racemosa,,,Bay-rum tree
PIRE,Pinus,resinosa,,,Red pine
PIRH,Pittosporum,rhombifolium,,,Queensland pittosporum
PIRI,Pinus,rigida,,,Pitch pine
PIRO,Pinus,roxburghii,,,Chir pine
PIRU,Picea,rubens,,,Red spruce
PISA2,Samanea,saman,,,Monkeypod
PISE,Pinus,serotina,,,Pond pine
PISI,Picea,sitchensis,,,Sitka spruce
PIST,Pinus,strobus,,,Eastern white pine
PIST2,Pinus,strobiformis,,,Southwestern white pine
PISY,Pinus,sylvestris,,,Scotch pine
PITA,Pinus,taeda,,,Loblolly pine
PITH,Pinus,thunbergiana,,,Japanese black pine
PITO,Pittosporum,tobira,,,Japanese pittosporum
PITO2,Pinus,torreyana,,,Torrey pine
PIUN,Pittosporum,undulatum,,,Victorian box
PIVI,Pinus,virginiana,,,Virginia pine
PIVI5,Pittosporum,viridiflorum,,,Cape cheesewood
PIWA3,Pinus,wallichiana,,,Himalayan pine
PL13,Plumeria,,,,Plumeria
PL3,Platanus,,,,Sycamore
PLAC,Platanus,acerifolia,,,London planetree
PLAC1,Plumeria,acuminata,,,Frangipani
PLAC_B,Platanus,acerifolia,Bloodgood,,London planetree 'Bloodgood'
PLAC_C,Platanus,acerifolia,Columbia,,London planetree 'Columbia'
PLOC,Platanus,occidentalis,,,American sycamore
PLOR,Platanus,orientalis,,,Oriental planetree
PLOR80,Platycladus,orientalis,,,Oriental arbor vitae
PLPI4,Platymiscium,pinnatum,,,Chachimbo
PLRA,Platanus,racemosa,,,California sycamore
PLWR,Platanus,wrightii,,,Arizona sycamore
PO,Populus,,,,Cottonwood
PO3,Podocarpus,,,,Podocarpus
POAC5,Populus,x acuminata,,,Lanceleaf cottonwood
POAL,Populus,alba,,,White poplar
POALPY,Populus,alba,Pyramidalis,,White poplar 'Pyramidalis'
POAN,Populus,angustifolia,,,Narrowleaf cottonwood
POBA,Populus,balsamifera,,,Balsam poplar
POBAB2,Populus,balsamifera,,ssp. balsamifera,Balsam popular
POCA,Populus,x canescens,,,Gray poplar
POCA2,Populus,x canadensis,,,Carolina poplar
PODE,Populus,deltoides,,,Eastern cottonwood
POFR,Populus,fremontii,,,Valley cottonwood
POGR,Populus,grandidentata,,,Bigtooth aspen
POGR2,Podocarpus,gracilior,,,Fern pine
POHE2,Podocarpus,henkelii,,,Long-leafed yellowwood
POLO21,Polyalthia,longifolia,,,Cemetery tree
POMA,Podocarpus,macrophyllus,,,Yew podocarpus
PONA,Podocarpus,nagi,,,Broad leaf podocarpus
PONE21,Podocarpus,neriifolius,,,Brown pine
PONI,Populus,nigra,,,Black poplar
PONIIT,Populus,nigra,Italica,,Lombardy poplar
POPI,Derris,indica,,,Poonga oil tree
POSA,Populus,sargentii,,,Plains cottonwood
POTR1,Populus,tremuloides,,,Quaking aspen
POTR2,Populus,balsamifera,,ssp. trichocarpa,Black cottonwood
POUS2,Podocarpus,usambarensis,,,East African yellow wood
PR,Prunus,,,,Plum
PR,Prunus,,,,Cherry
PR2,Prestoea,,,,Prestoea
PR6,Prosopis,,,,Mesquite
PRAL2,Prosopis,alba,,,Argentine mesquite
PRAM,Prunus,americana,,,American plum
PRAM2,Prunus,amygdalus,,,Almendro
PRAN,Prunus,angustifolia,,,Chickasaw plum
PRAR,Prunus,armeniaca,,,Apricot
PRAV,Prunus,avium,,,Sweet cherry
PRBL,Prunus,blieriana,,,Blierana plum
PRCA,Prunus,caroliniana,,,Carolina laurelcherry
PRCA2,Prunus,campanulata,,,Taiwan cherry
PRCE,Prunus,cerasifera,,,Purple leaf plum
PRCEKV,Prunus,cerasifera,Krauter Vesuvius,,Krauter vesuvius plum
PRCEKW,Prunus,cerasifera,Thundercloud,,Thundercloud purple plum
PRCH,Prosopis,chilensis,,,Algarrobo
PRCI,Prunus,x cistena,,,Purpleleaf sand cherry
PRDO,Prunus,domestica,,,Common plum
PRDU,Prunus,dulcis,,,Sweet almond
PRGL2,Prosopis,glandulosa,,,Honey mesquite
PRHAJO,Prunus,hally,,,Hally Jolivette Cherry
PRIL,Prunus,ilicifolia,,,Hollyleaf cherry
PRLA,Prunus,laurocerasus,,,Common cherry laurel
PRLY,Prunus,ilicifolia,,ssp. lyonii,Catalina cherry
PRMA,Prunus,maackii,,,Amur chokecherry
PRPA,Prunus,padus,,,European bird cherry
PRPA11,Pritchardia,pacifica,,,Fiji fan palm
PRPA2,Prosopis,pallida,,,Kiawe
PRPE1,Prunus,pennsylvanica,,,Pin cherry
PRPE2,Prunus,persica,,,Peach
PRPI,Prunus,pissardii,,,Purpleleaf plum
PRPU2,Prosopis,pubescens,,,Screwbean mesquite
PRSA,Prunus,sargentii,,,Sargent cherry
PRSE1,Prunus,serotina,,,Black cherry
PRSE2,Prunus,serrulata,,,Kwanzan cherry
PRSEAM,Prunus,serrulata,Amanogawa,,Amanogawa cherry
PRSESH,Prunus,serrulata,Shirofugen,,Shirofugen cherry
PRSESO,Prunus,serrulata,Shirotae,,Shirotae cherry
PRSU,Prunus,subhirtella,,,Higan cherry
PRTO,Prunus,tomentosa,,,Manchu cherry
PRTR,Prunus,triloba,,,Flowering plum
PRVE,Prosopis,velutina,,,Velvet mesquite
PRVI,Prunus,virginiana,,,Common chokecherry
PRVISH,Prunus,virginiana,Shubert,,Shubert chokecherry
PRYE,Prunus,yedoensis,,,Yoshino flowering cherry
PSCA,Psidium,cattleianum,,,Strawberry guava
PSEL5,Pseudobombax,ellipticum,,,Shaving brush tree
PSGU,Psidium,guajava,,,Guava
PSME,Pseudotsuga,menziesii,,,Douglas fir
PTCO,Pterostyrax,corymbosa,,,Little epaulettetree
PTIN,Pterocarpus,indicus,,,Narra
PTMA8,Ptychosperma,macarthurii,,,Macarthur palm
PTST,Pterocarya,stenoptera,,,Chinese wingnut
PTTR,Ptelea,trifoliata,,,Common hoptree
PUGR,Punica,granatum,,,Pomegranate
PY,Pyrus,,,,Pear
PYAN,Malus,angustifolia,,,Southern crabapple
PYCA,Pyrus,calleryana,,,Callery pear
PYCAA,Pyrus,calleryana,Aristocrat,,Callery pear 'Aristocrat'
PYCA_B,Pyrus,calleryana,Bradford,,Callery pear 'Bradford'
PYCA_C,Pyrus,calleryana,Capital,,Callery pear 'Capital'
PYCA_CH,Pyrus,calleryana,Chanticleer,,Callery pear 'Chanticleer'
PYCACL,Pyrus,calleryana,Cleveland,,Callery pear 'Cleveland'
PYCA_R,Pyrus,calleryana,Red Spire,,Callery pear 'Redspire'
PYCA_T,Pyrus,calleryana,Trinity,,Callery pear 'Trinity'
PYCA_W,Pyrus,calleryana,Whitehouse,,Callery pear 'Whitehouse'
PYCO,Pyrus,communis,,,Common pear
PYCO2,Pyracantha,coccinea,,,Fire thorn
PYFA,Pyrus,fauriei,,,Korean sun pear
PYIO,Malus,ioensis,,,Prairie crabapple
PYKA,Pyrus,kawakamii,,,Evergreen pear
PYKO,Pyracantha,koidzumii,,,Formosa firethorn
PYSP,Pyracantha,,,,Firethorn
QU,Quercus,,,,Oak
QUAC,Quercus,acutissima,,,Sawtooth oak
QUAC2,Quercus,acerifolia,,,Sawtooth oak
QUAG,Quercus,agrifolia,,,Coastal live oak; California live oak
QUAL,Quercus,alba,,,White oak
QUAL3,Quercus,aliena,,,Oriental white oak
QUAU,Quercus,austrina,,,Bluff oak
QUBI,Quercus,bicolor,,,Swamp white oak
QUCH,Quercus,chrysolepis,,,Canyon live oak
QUCI,Quercus,incana,,,Bluejack oak
QUCO,Quercus,coccinea,,,Scarlet oak
QUEL,Quercus,ellipsoidalis,,,Northern pin oak
QUEN,Quercus,engelmannii,,,Engelmann oak
QUFA,Quercus,falcata,,,Southern red oak
QUGE,Quercus,georgiana,,,Sand live oak
QUHE,Quercus,hemisphaerica,,,Darlington oak
QUIL2,Quercus,ilex,,,Roble negro
QUIM,Quercus,imbricaria,,,Shingle oak
QUKE,Quercus,kelloggii,,,California black oak
QULA,Quercus,laceyi,,,Turkey oak
QULA1,Quercus,laevis,,,Turkey oak
QULA2,Quercus,laurifolia,,,Laurel oak
QULO,Quercus,lobata,,,California white oak
QULY,Quercus,lyrata,,,Overcup oak
QUMA1,Quercus,macrocarpa,,,Bur oak
QUMA2,Quercus,marilandica,,,Blackjack oak
QUMI,Quercus,michauxii,,,Swamp chestnut oak
QUMU,Quercus,muehlenbergii,,,Chinkapin oak
QUNI,Quercus,nigra,,,Water oak
QUNU,Quercus,texana,,,Texas red oak
QUPA,Quercus,palustris,,,Pin oak
QUPAFA,Quercus,palustris,Fastigiata,,Fastigiate pin oak
QUPH,Quercus,phellos,,,Willow oak
QUPR,Quercus,prinus,,,Chestnut oak
QURO,Quercus,robur,,,English oak
QUROF,Quercus,robur,Fastigiata,,English oak 'Fastigiato'
QURU,Quercus,rubra,,,Northern red oak
QUSA2,Quillaja,saponaria,,,Quillay
QUSE,Quercus,glandulifera,,,Konara oak
QUSH,Quercus,shumardii,,,Shumard oak
QUST,Quercus,stellata,,,Post oak
QUSU,Quercus,suber,,,Cork oak
QUVE,Quercus,velutina,,,Black oak
QUVI,Quercus,virginiana,,,Live oak
QUWI,Quercus,wislizeni,,,Interior live oak
RAGL,Ravenea,glauca,,,Majesty palm
RAMA,Ravenala,madagascariensis,,,Traveller's palm
RARI,Ravenea,rivularis,,,Majesty palm
RASA5,Rauvolfia,samarensis,,,Rauvolfia
RHBA7,Rhopalostylis,baueri,,,Norfolk Island palm
RHCA,Rhamnus,cathartica,,,European buckthorn
RHFR,Frangula,alnus,,,Glossy buckthorn
RHGL,Rhus,glabra,,,Smooth sumac
RHIN,Rhus,integrifolia,,,Lemonade berry
RHIN2,Rhaphiolepis,,,,Indian hawthorn
RHIN62,Rhaphiolepis,indica,,,Indian hawthorn
RHLA,Rhus,lancea,,,African sumac
RHOV,Rhus,ovata,,,Sugar sumac
RHSP,Rhus,,,,Sumac
RHSP1,Rhododendron,,,,Rhododendron
RHSP2,Rhamnus,,,,Buckthorn
RHTR,Rhus,typhina,,,Staghorn sumac
RHTY,Rhus,hirta,,,Staghorn sumac
ROAMI,Robinia,x ambigua,Idahoenis,,Idaho locust
ROBA,Rosa,banksiae,,,Banksian rose; Lady Bank's rose
ROPS,Robinia,pseudoacacia,,,Black locust
ROPS_PR,Robinia,pseudoacacia,Purple Robe,,Black locust 'Purple robe'
RORE2,Roystonea,regia,,,Cuban royal palm
ROVI,Robinia,viscosa,,,Clammy locust
SA,Salix,,,,Willow  
SA12,Salvia,,,,Sage
SAAL,Sassafras,albidum,,,Sassafras
SAAL4,Salix,alba,,,White willow
SAALT,Salix,alba,Tristis,,Golden weeping willow
SAAM,Salix,amygdaloides,,,Peachleaf willow
SABA,Salix,x sepulcralis,Simonkai,,Weeping willow
SACA,Sambucus,nigra,,ssp. canadensis,Common elderberry
SACANE,Sambucus,caerulea,,var. neomexicana,Neomexican blue elderberry
SADI,Salix,discolor,,,Pussy willow
SAFR,Salix,fragilis,,,Crack willow
SAGR,Salix,gracilistyla,,,Rosegold pussy willow
SALA1,Salix,lasiolepis,,,Arroya willow
SALU,Salix,lucida,,,Shining willow
SAMA,Salix,matsudana,,,Weeping willow
SAMA_T,Salix,matsudana,Tortuosa,,Corkscrew willow
SAMI8,Sabal,minor,,,Dwarf palmetto
SANI,Salix,nigra,,,Black willow
SANI4,Sambucus,nigra,,,European black elderberry
SAPA,Sabal,palmetto,,,Cabbage palmetto
SAPE12,Salix,x pendulina,Wenderoth,,Wisconsin weeping willow
SASA,Sapindus,saponaria,,,Wingleaf soapberry
SASC,Salix,scouleriana,,,Scouler willow
SC3,Schefflera,,,,Schefflera
SCMO,Schinus,molle,,,Pepper tree
SCPO,Schinus,polygamus,,,Huingan
SCPU18,Schefflera,pueckleri,,,Mallet flower
SCTE,Schinus,terebinthifolius,,,Christmas berry
SCVE,Sciadopitys,verticillata,,,Umbrella pine
SEBI5,Cassia,bicapsularis,,,Winter cassia
SECO9,Senna,corymbosa,,,Argentine senna
SEGI,Sequoiadendron,giganteum,,,Giant sequoia
SEGR5,Sesbania,grandiflora,,,Sesban
SEPU7,Sesbania,punicea,,,Rattlebox
SERE2,Serenoa,repens,,,Saw palmetto
SESE,Sequoia,sempervirens,,,Coast redwood
SESU4,Senna,surattensis,,,Scrambled egg tree
SETR,Sesbania,tripetii,,,Scarlett wisteria
SIGL,Simarouba,glauca,,,Paradise tree
SO,Sorbus,,,,Mountain ash
SO1,Lycianthes,rantonnei,,,Paraguay nightshade
SOAL,Sorbus,alnifolia,,,Korean mountain ash
SOAM,Sorbus,americana,,,American mountain ash
SOAU,Sorbus,aucuparia,,,European mountain ash
SOHUCF,Sorbus,hupehensis,,var. coral fire,Mountain ash 'Coral Fire'
SOHUCQ,Sorbus,hupehensis,,var. columbia queen,Mountain ash 'Columbia Queen'
SOJA,Sophora,japonica,,,Japanese pagoda tree
SOSE,Sophora,secundiflora,,,Mescalbean
SPCA,Spathodea,campanulata,,,African-tulip tree
SPVA2,Spirea,,,,Van houtt's spirea
STJA,Styrax,japonicus,,,Japanese snowbell
STNI,Strelitzia,nicolai,,,Bird of paradise tree
STSI,Stenocarpus,sinuatus,,,Firewheel tree
SWMA,Swietenia,mahagoni,,,West Indian mahogany
SYCO,Syagrus,coronata,,,Licury palm
SYJA,Syzygium,jambos,,,Rose-apple
SYPA2,Syzygium,paniculatum,,,Brush cherry
SYRE,Syringa,reticulata,,,Japanese tree lilac
SYRO,Syagrus,romanzoffiana,,,Queen palm
SYSP,Syringa,,,,Lilac
SYVU,Syringa,vulgaris,,,Common lilac
TA,Taxus,,,,Yew
TAAR,Tabebuia,aurea,,,Silver trumpet tree
TAAS,Taxodium,ascendens,,,Pond cypress
TAAV,Tabebuia,avellanedae,,,Ipe-roxo
TABA,Taxus,baccata,,,English yew
TABA2,Tabebuia,bahamensis,,,White dwarf tabebuia
TABR,Taxus,brevifolia,,,Pacific yew
TACA,Taxus,canadensis,,,Canada yew
TACH,Tabebuia,chrysantha,,,Golden tabebuia
TACH2,Tamarix,chinensis,,,Fivestamen tamarisk
TACH3,Tabebuia,chrysotricha,,,Ipe-amarelo
TACH4,Tabebuia,ochracea,,subsp. neochrysantha,Golden trumpet tree
TADI,Taxodium,distichum,,,Baldcypress
TADO2,Tabebuia,donnell-smithii,,,Gold tree
TAIM,Tabebuia,impetiginosa,,,Pink trumpet tree
TAIN,Tamarindus,indica,,,India tamarind
TAMU,Taxodium,mucronatum,,,Montezuma cypress
TAPA,Tabebuia,heterophylla,,,White cedar
TAPA13,Tabernaemontana,pandacaqui,,,Bitter bark
TASP,Tabebuia,,,,Trumpet-tree
TECA,Terminalia,catappa,,,False kamani
TH9,Thuja,,,,Red cedar
THOC,Thuja,occidentalis,,,Northern white cedar
THOR,Platycladus,orientalis,,,Oriental arbor vitae
THPE3,Thevetia,peruviana,,,Luckynut
THPL,Thuja,plicata,,,Western red cedar
THPU,Thespesia,populnea,,,Milo
TI,Tilia,,,,Basswood
TIAM,Tilia,americana,,,American basswood
TICO,Tilia,cordata,,,Littleleaf linden
TICOG,Tilia,cordata,Greenspire,,Littleleaf linden 'Greenspire'
TIEU,Tilia,x vulgaris,,,Common linden
TIGR3,Tibouchina,granulosa,,,Purple glory tree
TIHE,Tilia,americana,,var. heterophylla,White basswood
TIPL,Tilia,platyphyllos,,,Bigleaf linden
TITI2,Tipuana,tipu,,,Tipu tree
TITO,Tilia,tomentosa,,,Silver linden
TITOSS,Tilia,tomentosa,Sterling Silver,,Sterling silver linden
TITU,Tipuana,tipu,,,Tipu tree
TIUR,Tibouchina,urvilleana,,,Princess-flower
TOAR2,Tournefortia,argentea,,,Tree heliotrope
TOTA,Torreya,taxifolia,,,Florida torreya
TRAC,Trithrinax,acanthocoma,,,Brizilian needle palm
TRCO,Tristaniopsis,conferta,,,Brisbane box
TRFO,Trachycarpus,fortunei,,,Windmill palm
TRLA,Tristaniopsis,laurina,,,Water gum; kanooka
TRLA_E,Tristania,laurina,Elegans,,Water gum 'Elegans'
TRSE6,Triadica,sebifera,,,Tallowtree
TSCA,Tsuga,canadensis,,,Eastern hemlock
TSHE,Tsuga,heterophylla,,,Western hemlock
TSME,Tsuga,mertensiana,,,Mountain hemlock
TUCA,Tupidanthus,calyptratus,,,Tupidanthus
ULAL,Ulmus,alata,,,Winged elm
ULAM,Ulmus,americana,,,American elm
ULAMLI,Ulmus,american,Liberty,,Liberty elm
ULCAHO,Ulmus,carpinifolia,Hollandica,,Smoothleaf elm
ULGL,Ulmus,glabra,,,Wych elm
ULPA,Ulmus,parvifolia,,,Chinese elm
ULPA99,Ulmus,parvifolia,Evergreen,,Chinese elm evergreen
ULPA_D,Ulmus,parvifolia,Drake,,Drake Chinese elm
ULPA_E,Ulmus,parvifolia,Emer II,,Emer II/Emerald Vase Chinese elm
ULPR,Ulmus,procera,,,English elm
ULPU,Ulmus,pumila,,,Siberian elm
